Прізвище Ім*я;По батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Чалий Григорій;Валерійович;чоловік;05-11-1954;Соціолог;селище Долинська;проспект Флотська, буд. 4 кв. 211, Мар'їнка, 32166;+380 14 725-69-98;batiholes@example.com
Єсипенко Володимира;Віталівна;жінка;31-07-1952;Дантист;селище Ізюм;площа Поперечний, буд. 75, Пирятин, 93435;+380 (50) 020-22-79;shcherbakalla@example.org
Вівчаренко Марія;Олегівна;жінка;03-12-1961;Маркетолог;село Красноград;парк Радіальний, буд. 287 кв. 174, Покров, 81388;+380 45 787-43-58;kzhaivoron@example.net
Микитюк Симон;Володимирович;чоловік;15-01-1987;Клавішник;село Кремінна;сквер Тираспольська, буд. 084, Красноперекопськ, 78333;+380 72 111 89 11;clytvyn@example.com
Полтавець Георгій;Олександрович;чоловік;03-06-1996;Мінералог;селище Жмеринка;сквер Достоєвського, буд. 0 кв. 65, Вознесенівка, 28416;+380 55 810-40-88;zorianshukhevych@example.net
Журба Єлисей;Андрійович;чоловік;19-03-1975;Дерун;селище Чернігів;провулок Килимовий, буд. 278, Нове Давидково, 99940;+380 68 280 30 62;symonenkodemian@example.net
Назаренко Болеслав;Андрійович;чоловік;08-01-1962;Піаніст;хутір Кременчук;сквер ім. К.Г. Паустовського, буд. 37 кв. 588, Сімферополь, 39086;+380 27 559-20-65;dannavoblyi@example.org
Романенко Марко;Вікторович;чоловік;26-08-1957;Флорист;місто Золочів;узвіз Мазепи Івана, буд. 737, Монастириська, 62391;942 29 57;dashkevycheduard@example.org
Барабаш Феофан;Вітальович;чоловік;03-08-2002;Машиніст;селище Рожище;провулок Станційна 3-тя, буд. 6, Лебедин, 34481;858-69-38;arsen03@example.com
Іваничук Дмитро;Григорович;чоловік;23-01-1963;Електрослюсар;селище Ківерці;провулок Юннатів, буд. 016 кв. 300, Херсон, 22390;+380 91 503 92 66;hkovalenko@example.com
Ґерус Михайлина;Анатоліївна;жінка;14-03-1976;Економіст;хутір Жовті Води;проспект Толбухіна, буд. 74, Алчевськ, 49675;301 39 41;pizhakevych@example.net
Заєць Едуард;Олегович;чоловік;15-09-1982;Гінеколог;селище Мар'їнка;парк Лінія 25-та, буд. 0, Миронівка, 28365;+380 81 363 42 52;dvashchenko-zakharchenko@example.net
Швачко Ірена;Володимирівна;жінка;18-03-1966;Адвокат;селище Світлодарськ;узвіз Амбулаторний, буд. 707 кв. 720, Вільногірськ, 88027;151-33-52;csheremet@example.org
Вдовенко Лариса;Вікторівна;жінка;07-06-1976;Ювелір;місто Охтирка;узвіз Кедровий, буд. 975 кв. 67, Ізюм, 24769;346-74-72;oles59@example.org
Давимука Варфоломій;Тимофійович;чоловік;18-02-1967;Паралегал;хутір Севастополь;сквер Овідіопольська, буд. 487 кв. 1, Івано-Франківськ, 65033;923-54-80;roksolanaperepelytsia@example.org
Рубан Геннадій;Михайлович;чоловік;27-03-2006;Палеонтолог;хутір Армянськ;проспект Офіцерський 1-й, буд. 8 кв. 789, Рені, 36394;+380 (12) 469-86-85;iemetspavlo@example.net
Кащенко Данило;Олегович;чоловік;01-01-1995;Електротехнік;село Рені;провулок Канатний, буд. 1, Васильків, 54312;+380 (64) 829-68-14;stusliubov@example.com
Масляк Спас;Володимирович;чоловік;02-09-1939;Детектив;місто Гайворон;площа Нафтовиків, буд. 40 кв. 4, Нововолинськ, 17608;+380 (60) 204-69-33;ieroshenkoboryslav@example.net
Малишко Дмитро;Володимирович;чоловік;22-10-1994;Кіноактор;місто Сарни;шосе Курортний 6-й, буд. 4 кв. 10, Червоносів, 44862;067 548 37 58;levko12@example.net
Артюх Алевтин;Юрійович;чоловік;10-12-1993;Акушер;хутір Петрово-Красносілля;проспект Гранатний, буд. 5 кв. 26, Херсон, 81701;+380 01 413-51-14;perebyinissolomon@example.com
Масоха Святослава;Вікторівна;жінка;08-09-1994;Випробувач;селище Ужгород;парк Індійська, буд. 5 кв. 07, Луцьк, 44048;448 68 99;jpylypenko@example.net
Гайворонський Франц;Анатолійович;чоловік;03-02-1940;Нотаріус;селище Копичинці;сквер Нежданової, буд. 264, Покров, 07616;050 149 96 62;fareniukherman@example.net
Салій Світлана;Тимофіївна;жінка;03-01-1972;Няня;село Погребище;проспект Леваневського тупик, буд. 31 кв. 6, Решетилівка, 36968;+380 80 964-24-05;iaroslavpavlychenko@example.net
Тимченко Адам;Іванович;чоловік;10-08-1995;Бібліограф;село Пирятин;сквер Молодіжна, буд. 839, Вознесенськ, 07576;+380 70 013-01-24;artem82@example.net
Ісаєвич Зорян;Дмитрович;чоловік;25-11-2002;Бухгалтер;село Миронівка;проспект Михайла Жванецького, буд. 462 кв. 256, Світловодськ, 80008;+380 62 543-89-42;anastasiiashchors@example.com
Пилипенко Соломон;Олегович;чоловік;18-09-1991;Льотчик;хутір Молочанськ;узвіз Орликова, буд. 352, Бердичів, 09385;+380 (99) 939-29-47;ubabii@example.net
Даниленко Герман;Олександрович;чоловік;17-11-1955;Громадський діяч;місто Горохів;шосе Канатна, буд. 462 кв. 96, Снятин, 05782;003 778-89-34;vitaliiiemets@example.com
Артеменко Богуслава;Миколайович;жінка;07-08-1952;Правник;місто Тростянець;вулиця Бориса Дерев'янка, буд. 24, Добромиль, 82915;270 56 51;pdashenko@example.org
Байрак Ярослав;Валерійович;чоловік;02-10-1953;Художник;селище Токмак;шосе Костанді 2-й, буд. 1 кв. 5, Кропивницький, 88853;078-07-08;semenkabaliuk@example.com
Цибуленко Любов;Анатоліївна;жінка;27-06-1983;Підприємець;селище Коростень;парк Макаренка, буд. 476, Красилів, 80289;+380 (32) 876-84-59;hrytsenkopanas@example.com
Перебийніс Максим;Вітальович;чоловік;29-10-1984;Ювелір;хутір Феодосія;провулок Восьмого березня, буд. 5 кв. 399, Любомль, 50186;636-64-19;sliashko@example.net
Рубан Маруся;Володимирівна;жінка;22-01-1974;Нотаріус;місто Кодима;узвіз Моторний 2-й, буд. 05 кв. 6, Слов'янськ, 17971;+380 64 711-90-66;violettaisaievych@example.com
Александренко Ада;Валеріївна;жінка;23-08-1993;Пілот;хутір Скадовськ;шосе Олександра Невського 1-й, буд. 6 кв. 03, Гайворон, 90330;+380 68 820-64-81;adam38@example.com
Яремків Орхип;Вітальович;чоловік;27-07-1971;Кінорежисер;селище Новий Розділ;узвіз Тюльпанний, буд. 618, Глобине, 95342;093 254-76-11;demianshovkoplias@example.org
Ванченко Ярема;Тимофійович;чоловік;22-11-1991;Бібліотекар;село Вільнянськ;шосе Каркашадзе, буд. 95 кв. 23, Первомайськ, 51542;+380 47 861-83-96;oksanalahoda@example.org
Єресько Тимофій;Григорович;чоловік;08-08-1992;Модельєр;селище Ізюм;узвіз Панченка, буд. 16 кв. 057, Сорокине, 37907;+380 (97) 028-66-06;orysia24@example.com
Гайворонський Панас;Васильович;чоловік;18-01-2005;Флорист;місто Білогірськ;шосе Верещагіна, буд. 19, Бережани, 30030;+380 39 103-03-50;klymentdemianchuk@example.org
Артюх Богданна;Юріївна;жінка;06-12-2007;Правник;село Любомль;парк Травневий 5-й, буд. 5, Миколаїв, 90310;+380 (96) 979-53-54;zhuchenkofrants@example.net
Сиротенко Йосип;Анатолійович;чоловік;15-03-2000;Провізор;хутір Кам'янка (Черкаська область);площа Проектований 4-й, буд. 79 кв. 858, Золоте, 17279;+380 21 408-77-84;mykolaivdovenko@example.com
Ванченко Ярема;Михайлович;чоловік;01-07-2004;Будник;місто Баштанка;парк Сінна, буд. 68 кв. 73, Миронівка, 13576;+380 10 701-42-20;dutkaorkhyp@example.org
Височан Ярема;Олександрович;чоловік;29-12-1944;Електромонтажник;селище Теплодар;провулок Михайлівська, буд. 577, Ківерці, 19077;+380 23 861-80-41;ndeineka@example.com
Засенко Федір;Юрійович;чоловік;29-07-1952;Адвокат;селище Вишгород;провулок Сєрова, буд. 1 кв. 744, Перещепине, 32722;355 55 83;iarema88@example.org
Сірко Леопольд;Володимирович;чоловік;16-09-1949;Слідчий;хутір Красноперекопськ;парк 6-та Лінія Марії Демченко, буд. 84, Благовіщенське, 04063;345 68 72;iushchenkorostyslav@example.org
Забарний Мирослав;Володимирович;чоловік;30-01-1952;Археолог;село Полонне;проспект Перший Кришталевий, буд. 56 кв. 70, Володимир-Волинський, 70802;003 310-35-55;vladyslav03@example.net
Філіпенко Прохір;Васильович;чоловік;14-05-1979;Художник;селище Оріхів;сквер Маяковського, буд. 3, Нова Каховка, 33619;+380 85 896-44-92;solomonvyshniak@example.com
Артим Хома;Дмитрович;чоловік;18-04-1957;Педагог;село Нововолинськ;набережна Керченський 2-й, буд. 472, Старий Самбір, 24076;+380 41 540 01 62;wsalii@example.com
Абрагамовський Мартин;Валерійович;чоловік;23-12-1954;Державний службовець;місто Антрацит ;шосе Карантинна, буд. 452, Первомайський , 54026;+380 57 819-85-37;mykhailochekaliuk@example.com
Сірко Богдан;Андрійович;чоловік;10-08-1942;Музичний редактор;селище Путивль;вулиця Лучиста, буд. 9 кв. 219, Корюківка, 20025;+380 53 222 90 08;zaporozhetsoles@example.org
Аронець Святослава;Віталівна;жінка;19-02-1977;Громадський діяч;село Чортків;вулиця Амбулаторна, буд. 68, Городенка, 34563;+380 01 214-63-14;lukianprokopovych@example.net
Демиденко Адам;Олександрович;чоловік;07-07-1961;Круп'є;село Зіньків;проспект Дорожня, буд. 476 кв. 222, Генічеськ, 22843;085 558-93-48;feofan83@example.com
Височан Марко;Миколайович;чоловік;22-03-1963;Клавішник;село Алмазна;площа Касима Юрія, буд. 3, Остер , 01381;+380 48 514-38-62;dubassolomiia@example.net
Дашенко Віолетта;Андріївна;жінка;16-07-1972;Мінералог;село Зимогір'я;проспект Умова, буд. 3 кв. 42, Мукачево, 36400;+380 30 539-42-33;vasylenkoiukhym@example.net
Шахрай Борислав;Володимирович;чоловік;25-01-1964;Льотчик;селище Кремінна;узвіз 15-та Суворовська, буд. 6, Тараща, 72917;069 275 51 82;mykhailynakarpa@example.org
Супруненко Демид;Васильович;чоловік;27-11-1982;Географ;село Прип'ять ;проспект Грузинська, буд. 0, Фастів, 01879;092 490-76-56;dpalii@example.com
Закусило Світлана;Олегівна;жінка;04-06-1986;Машиніст;хутір Алушта;площа Гілельса, буд. 98 кв. 416, Токмак, 19401;+380 72 368-03-38;dan09@example.com
Дейнеко Арсен;Махайлович;чоловік;04-01-1953;Фізик;селище Новий Розділ;вулиця Вапняний 2-й, буд. 0, Добромиль, 54073;847-09-56;chornovilivan@example.org
Базилевський Єлисей;Григорович;чоловік;13-09-1957;Акушер;місто Лубни;площа 4-та Лінія Марії Демченко, буд. 9, Жашків, 90204;063 610 84 08;jshakhrai@example.com
Юрченко Пантелеймон;Миколайович;чоловік;15-06-1962;Різноробочий;хутір Теребовля;сквер Геранієва, буд. 6, Городня, 30438;396-52-14;fhuzii@example.com
Яременко Емілія;Григорівна;жінка;12-07-1982;Геофізик;село Верхньодніпровськ;вулиця Пироговський, буд. 33 кв. 1, Докучаєвськ, 82738;067 176 26 02;bohdan61@example.org
Затовканюк Соломон;Дмитрович;чоловік;29-11-1947;Програміст;хутір Бобринець;шосе Проїзний 1-й, буд. 32, Кипуче, 90382;043 745 76 25;korbutliliia@example.net
Бабʼюк Варфоломій;Васильович;чоловік;03-07-1980;Клавішник;село Світловодськ;узвіз Іванова 1-й, буд. 66, Кропивницький, 11481;+380 (09) 268-48-57;ubabak@example.net
Дубенко Єлисей;Юрійович;чоловік;23-08-1973;Фольклорист;село Дубляни;площа Радісний, буд. 7, Красноперекопськ, 97076;064 917-56-96;qiatsenko@example.org
Деряжний Пантелеймон;Валерійович;чоловік;28-08-1943;Астрофізик;місто Ладижин;площа Черепанових 2-й, буд. 42 кв. 03, Перещепине, 91703;+380 43 268 52 18;adamzaika@example.org
Худяк Ярослав;Миколайович;чоловік;05-05-1965;Філолог;місто Старокостянтинів;шосе 9-та Суворовська, буд. 2 кв. 491, Обухів, 38354;+380 09 434-78-01;oryna89@example.org
Бабʼяк Ганна;Андріївна;жінка;28-06-2002;М'ясник;місто Селидове;парк Краснослобідський, буд. 202 кв. 935, Кремінна, 60160;008 560 63 00;serhiiievdokymenko@example.org
Гавришкевич Людмила;Олегівна;жінка;16-02-1939;Фермер;місто Федорівка;узвіз Учнівська, буд. 7, Костопіль, 01060;002 015-99-47;iashchenkomyroslav@example.org
Безбородьки Пантелеймон;Махайлович;чоловік;09-09-1980;Бізнесмен;хутір Канів;узвіз Пісочний, буд. 152, Вільнянськ, 02835;217-39-07;vermenychostap@example.org
Філіпенко Віолетта;Валеріївна;жінка;05-11-1941;Архітектор;село Житомир;шосе Отрадна, буд. 61 кв. 78, Мар'їнка, 44105;+380 46 093-79-10;marianadatsenko@example.com
Гуцуляк Ліза;Махайлівна;жінка;16-03-1958;Біолог;село Підгородне;парк Олександра Невського 1-й, буд. 17 кв. 7, Рахів, 94084;+380 32 199-67-82;haievskyihavrylo@example.org
Вітер Климент;Анатолійович;чоловік;27-10-1961;Будник;село Болград;площа Матроський узвіз, буд. 899, Кропивницький, 86823;+380 35 643-61-55;hanna47@example.net
Ляшко Варвара;Григорівна;жінка;25-06-1971;Ботанік;село Старобільськ;узвіз Адміральський, буд. 72, Роздільна, 48419;679-11-71;emiliiabashtan@example.net
Гуцуляк Юстим;Григорович;чоловік;07-05-1970;Медик;хутір Вашківці;провулок Бориса Дерев'янка, буд. 44, Володимир-Волинський, 98807;+380 13 063 78 18;banderavalentyn@example.com
Конопля Євген;Дмитрович;чоловік;02-03-1999;Кіноактор;хутір Чуднів;набережна 10-та Суворовська, буд. 519 кв. 236, Зугрес, 23836;+380 37 411-13-32;obevzenko@example.net
Гайденко Лесь;Олександрович;чоловік;13-02-2008;Реставратор;село Амвросіївка;проспект Пастера, буд. 785, Дубровиця, 64813;+380 53 209-09-40;tetianareva@example.com
Годунок Герман;Дмитрович;чоловік;28-03-1959;Сантехнік;хутір Жашків;шосе Аптекарський, буд. 108, Подільськ, 38124;+380 75 540-24-88;amaliia49@example.com
Кабаненко Тимофій;Михайлович;чоловік;27-03-1938;Професор;селище Тлумач;парк Горбиста, буд. 541 кв. 611, Вугледар, 70525;+380 36 065 19 64;demian87@example.org
Лагода Ірина;Володимирівна;жінка;12-05-2008;Мінералог;село Угнів;проспект Пассіонарії, буд. 6 кв. 483, Хмільник, 38284;+380 10 864-73-15;zlatoslavaiemelianenko@example.org
Удовенко Нестор;Валерійович;чоловік;13-01-1966;Пілот;місто Хорол ;проспект Сінна, буд. 26, Зборів, 15628;+380 (85) 011-91-85;hennadii94@example.org
Оліфіренко Надія;Олегівна;жінка;19-01-1960;Лікар;селище Кропивницький;вулиця Пестеля, буд. 344, Коломия, 44709;+380 (30) 040-60-17;marianachervonenko@example.com
Вернигора Віктор;Григорович;чоловік;14-06-1938;Електромонтер;селище Вознесенівка;площа Західний 3-й, буд. 6 кв. 26, Хрестівка, 48582;575 57 51;tverdokhlibliubov@example.net
Рубан Устим;Григорович;чоловік;12-10-1963;Астронавт;село Ямпіль;провулок Юрженка Олександра, буд. 183 кв. 70, Джанкой, 44186;378-75-83;zinkevychstanislav@example.org
Баштан Галина;Олександрівна;жінка;26-04-1997;Клоун;місто Малин;вулиця Польська, буд. 6 кв. 294, Бобровиця, 77672;078 238-38-22;vasylevychmykhailo@example.com
Тесленко Аніта;Валеріївна;жінка;19-01-1967;Няня;селище Дунаївці;проспект Офіцерський 2-й, буд. 033, Хрустальний, 98649;+380 16 435-96-18;kozachenkovalentyna@example.org
Василечко Варвара;Анатоліївна;жінка;14-01-1957;Дипломат;село Мала Виска;набережна Гагаріна, буд. 6, Дрогобич, 71427;+380 48 444-96-48;baranetsvasylyna@example.net
Туркало Симон;Дмитрович;чоловік;30-01-1974;Етнограф;місто Первомайськ;шосе Малиновський, буд. 181 кв. 3, Кипуче, 87568;053 888-52-46;cvdovenko@example.org
Копитко Альбіна;Тимофіївна;жінка;26-11-1944;Психолог;хутір Іршава;площа Орликова, буд. 007, Білгород-Дністровський, 73843;573-98-40;xkonoplenko@example.org
Рябченко Пармен;Вікторович;чоловік;20-02-1952;Палеонтолог;хутір Дубно;проспект Сінна, буд. 09 кв. 922, Вільногірськ, 76356;+380 (65) 595-46-64;gmoskal@example.com
Вишняк Оксана;Олегівна;жінка;07-08-1994;Євнух;місто Мена ;набережна Людмили Гінзбург, буд. 0, Білицьке, 15553;032 030-03-52;rbabiuk@example.org
Микитюк Сергій;Дмитрович;чоловік;06-01-1956;Гінеколог;хутір Білогірськ;провулок Рачкова, буд. 560, Алупка, 74081;+380 66 821 03 40;trokhymrudko@example.com
Дробʼязко Сергій;Юрійович;чоловік;25-01-1956;Реабілітолог;селище Білозерське;сквер Берегова, буд. 57 кв. 798, Сулимівка (Слов'янськ), 16949;088 186 32 93;boleslavnesterenko@example.com
Даценко Лариса;Олександрівна;жінка;26-02-2004;Футболіст;село Балаклія;сквер Олександра Невського 5-й, буд. 5 кв. 5, Богодухів, 86605;314-43-21;rieremenko@example.net
Дзиндра Вікторія;Андріївна;жінка;04-09-1969;Водій;селище Вишгород;вулиця Північний, буд. 80, Вознесенськ, 47989;013 559 84 56;volodymyr88@example.net
Забашта Клавдія;Іванівна;жінка;26-01-2005;Стоматолог;село Волноваха;узвіз Олександра Вронського, буд. 63 кв. 4, Пологи , 13073;421-75-21;lizabevzenko@example.com
Данченко Леонід;Дмитрович;чоловік;03-06-1942;Дантист;місто Коростишів;парк Аеропортівський 5-й, буд. 166 кв. 9, Сокаль, 48915;+380 72 569-18-74;rozaliia61@example.org
Демʼянюк Еріка;Миколайович;жінка;19-10-1948;Випробувач;село Вільнянськ;узвіз Василя Кандинського, буд. 4, Новомосковськ, 74882;+380 (61) 165-34-58;ievhen02@example.net
Микитюк Руслан;Михайлович;чоловік;21-10-1942;Електромонтажник;селище Кременчук;парк Толбухіна, буд. 080, Антрацит , 29034;+380 71 243 92 53;adaavramchuk@example.org
Ващенко Соломія;Махайлівна;жінка;13-05-1983;Водій;місто Волочиськ;площа Рачкова, буд. 5, Курахове, 53082;+380 70 531-48-21;haidaheorhii@example.com
Адаменко Юстим;Володимирович;чоловік;21-07-1970;Електромонтер;місто Олександрія;провулок Пересипська 2-га, буд. 78 кв. 614, Житомир, 41715;+380 (51) 433-23-36;psimashkevych@example.com
Єрошенко Леон;Махайлович;чоловік;09-04-1967;Доцент;хутір Дебальцеве;шосе Кавказька, буд. 6 кв. 96, Селидове, 52025;+380 (81) 261-30-75;hhaidabura@example.org
Штепа Леон;Михайлович;чоловік;19-07-1986;Круп'є;село Українськ;узвіз Балтський 2-й, буд. 7, Першотравенськ, 90123;897 37 42;taras48@example.org
Савенко Сніжана;Сергіївна;жінка;01-10-1971;Стропальник;село Берислав;вулиця Матроська Слобідка, буд. 360 кв. 543, Костянтинівка, 96143;471-11-68;khmaraklyment@example.org
Арсенич Христина;Віталівна;жінка;25-07-1940;Дерун;село Шумськ;проспект Дачний 2-й, буд. 94 кв. 097, Першотравенськ, 01000;090 903-41-63;stusvioletta@example.org
Терещенко Орест;Андрійович;чоловік;25-04-1967;Кінокритик;хутір Косів;площа Сєченова, буд. 656 кв. 97, Святогірськ, 88770;368-74-06;medvedenkoborys@example.net
Мірошниченко Марія;Олександрівна;жінка;04-12-1980;Гірник;селище Старобільськ;набережна Омська, буд. 7, Мукачево, 92628;+380 26 920-65-60;bhuk@example.com
Шухевич Марина;Андріївна;жінка;27-01-1972;Драматург;місто Копичинці;проспект Адміральський, буд. 73, Яворів, 16313;924 27 31;fzhadan@example.com
Носаченко Пріска;Валеріївна;жінка;19-09-2006;Медик;село Рівне;площа Лінія 43-тя, буд. 1, Моршин, 49105;292-36-48;onysym60@example.org
Чумаченко Марʼяна;Андріївна;жінка;07-04-1960;Головний меркшейдер;селище Ладижин;шосе Восьмого березня 7-й, буд. 98, Кобеляки, 41884;+380 10 472-80-48;kozakstefan@example.com
Авраменко Федір;Володимирович;чоловік;15-02-1978;Математик;село Іршава;провулок Студентський 4-й, буд. 63 кв. 77, Камінь-Каширський, 89577;032 018-62-48;zlysenko@example.net
Шиян Зиновій;Васильович;чоловік;31-01-2008;Каскадер;місто Сторожинець;парк Юхима Геллера, буд. 7 кв. 0, Новий Калинів, 88785;+380 (38) 662-09-75;onysym97@example.org
Ісаєвич Альберт;Григорович;чоловік;14-01-1963;Лікар;місто Дубляни;проспект Романтичний, буд. 8 кв. 600, Боярка, 48733;+380 91 910 89 79;ehavriushenko@example.com
Худяк Симон;Вікторович;чоловік;28-12-1940;Лікар;село Вільногірськ;вулиця Карантинна, буд. 8, Комарно, 15636;+380 44 268-32-98;zakharchenkooksana@example.com
Андрієвич Ярина;Махайлівна;жінка;21-05-1938;Пілот;селище Боярка;площа Шилова, буд. 075, Городище , 49836;+380 (80) 016-64-93;jnehoda@example.net
Данько Пармен;Дмитрович;чоловік;20-12-1986;Режисер;хутір Зміїв;шосе Слобідська, буд. 592, Кадіївка, 35118;+380 (27) 431-64-10;herman28@example.com
Дутка Вʼячеслав;Валерійович;чоловік;09-10-1966;Золотар;село Рені;узвіз Лугова, буд. 77, Свалява, 01713;115 33 10;anastasiia11@example.org
Вернигора Левко;Валерійович;чоловік;19-11-1983;Диригент;село Радомишль;набережна Скидановський узвіз, буд. 211, Моршин, 96391;+380 45 797-50-77;pirvanets@example.net
Дейнека Роксолана;Анатоліївна;жінка;31-08-1963;Менеджер;село Погребище;провулок Пастера, буд. 4, Бар, 92810;+380 (11) 661-75-94;bbezborodko@example.net
Заруба Леон;Сергійович;чоловік;28-02-1978;Епідеміолог;село Привілля;узвіз Нежданової, буд. 200, Берегове, 22278;088 580-20-98;zynovii22@example.net
Колодуб Лесь;Анатолійович;чоловік;11-06-1956;Бібліограф;місто Вовчанськ;узвіз Газовий, буд. 74, Нікополь, 26856;077 415 63 84;mchumachenko@example.net
Лаба Хома;Анатолійович;чоловік;24-01-1952;Ґрунтознавець;місто Суми;вулиця Більшовицький, буд. 07, Сніжне, 85155;021 209 50 88;anastasiiakybkalo@example.org
Швайка Тетяна;Віталівна;жінка;04-07-1983;Медик;село Тараща;парк Підйомний, буд. 0 кв. 9, Гуляйполе, 40789;019 732 00 33;mumanets@example.com
Ірванець Йосип;Дмитрович;чоловік;25-07-1973;Кінолог;селище Хмельницький;набережна Залізничний 3-й, буд. 150 кв. 43, Остер , 33428;+380 47 080 70 05;orysia11@example.com
Вернидуб Вадим;Олександрович;чоловік;23-11-1972;Швачка;село Енергодар;проспект Кавунова, буд. 620, Коростень, 76791;+380 43 089-87-62;lshevchenko@example.net
Затула Семен;Олександрович;чоловік;01-01-1943;Астронавт;село Ворожба;шосе Ясна, буд. 9 кв. 08, Носівка, 97789;279 57 13;klavdiiavovk@example.com
Остапчук Прохір;Махайлович;чоловік;12-01-1988;Підприємець;місто Глобине;набережна Геранієва, буд. 9, Козятин, 11799;+380 43 165-07-11;zynoviishchyrytsia@example.com
Сиротенко Панас;Григорович;чоловік;11-01-1975;Парфюмер;хутір Ромни;площа Пісочна, буд. 512, Дунаївці, 22363;+380 (20) 269-71-84;goberemko@example.net
Джус Павло;Вітальович;чоловік;29-01-1990;Ветеринар;хутір Ходорів;провулок Юрженка Олександра, буд. 343, Краматорськ, 25565;+380 52 106-21-53;ada68@example.net
Оробець Федір;Андрійович;чоловік;04-11-1991;Мінералог;хутір Волноваха;вулиця Березова, буд. 1 кв. 758, Балаклія, 18303;+380 61 263-30-94;pavlozinchenko@example.com
Вдовиченко Святослава;Дмитрівна;жінка;17-12-1960;Бізнесмен;селище Фастів;проспект Юннатів 1-й, буд. 79, Новоселиця, 02200;992-03-41;spas10@example.com
Дараган Нестор;Юрійович;чоловік;01-02-1987;Перекладач;хутір Павлоград;площа М’ясоєдовська, буд. 83 кв. 4, Лозова , 07747;563 34 01;marta66@example.org
Тарасенко Степан;Миколайович;чоловік;03-04-2005;Дантист;місто Бібрка;узвіз Астрономічний, буд. 3 кв. 922, Пологи , 46312;+380 (77) 022-83-49;ievhen72@example.org
Оробець Соломон;Анатолійович;чоловік;10-09-2000;Перекладач;хутір Мар'їнка;сквер Промисловий, буд. 77 кв. 946, Тисмениця, 63800;+380 (15) 091-97-80;elytvynenko@example.net
Бандура Соломія;Олегівна;жінка;25-08-2002;Музикознавець;хутір Семенівка;сквер Гвардійська, буд. 4, Шаргород, 42456;097 937-04-43;haievskyisolomiia@example.net
Пʼятаченко Леон;Юрійович;чоловік;26-10-1975;Кінорежисер;місто Сімферополь;узвіз Троїцького Миколи, буд. 34, Білгород-Дністровський, 04248;+380 (95) 127-54-22;wshmorhun@example.net
Карпенко Геннадій;Іванович;чоловік;11-02-1995;Детектив;місто Суми;сквер Офіцерський 2-й, буд. 008, Жданівка, 18052;+380 (36) 717-74-45;baidakvolodymyra@example.net
Негода Степан;Тимофійович;чоловік;11-06-1956;Скульптор;селище Соледар;шосе Скидановський узвіз, буд. 382, Старий Крим, 58436;+380 82 306-32-18;vanchenkolukian@example.com
Ребрик Юхим;Григорович;чоловік;02-03-1985;Мовознавець;селище Київ;площа Залізнична, буд. 31, Лисичанськ, 92711;416-88-60;apanchuk@example.org
Лагода Віталій;Володимирович;чоловік;30-11-2003;Композитор;село Генічеськ;площа Заводська 4-та, буд. 3 кв. 1, Івано-Франківськ, 97590;526-73-58;zsamoilenko@example.org
Носаченко Мілена;Анатоліївна;жінка;19-04-1950;Акушер;село Покров;парк Маланова, буд. 055, Токмак, 68283;+380 21 040-68-27;demiandziuba@example.org
Василашко Роксолана;Миколайович;жінка;20-05-1980;Піаніст;селище Гнівань;шосе Рівності, буд. 161 кв. 494, Балаклія, 34133;005 466-52-47;shylomaksym@example.org
Редько Віолетта;Іванівна;жінка;02-01-1952;Архітектор;місто Івано-Франківськ;вулиця Лиманчик 2-й Лінія 4-та, буд. 7, Костянтинівка, 62532;073-45-47;tarasiakymchuk@example.org
Ватаманюк Омелян;Валерійович;чоловік;07-09-1977;Продюсер;селище Білозерське;парк Іванова, буд. 50 кв. 9, Липовець, 40859;077 449-90-29;qlevchenko@example.org
Бандера Одарка;Анатоліївна;жінка;20-12-1983;Мірошник;хутір Вуглегірськ;вулиця Студентський 3-й, буд. 4 кв. 2, Хотин, 77745;083 932 31 68;venedykt84@example.net
Лагода Пріска;Григорівна;жінка;17-06-1943;Каскадер;місто Глобине;парк Академіка Вільямса, буд. 2, Богуслав, 59579;+380 (19) 154-45-09;symon02@example.org
Опанасенко Ірена;Валеріївна;жінка;07-05-1975;Єгер;село Боярка;набережна Краснослобідська, буд. 657 кв. 3, Харцизьк, 29987;048 686-75-15;lbatih@example.com
Вдовенко Едита;Василівна;жінка;24-02-1998;Ювелір;селище Берегове;сквер Ломоносова, буд. 738 кв. 803, Святогірськ, 84935;563 19 29;bohdanna71@example.org
Єрьоменко Олександр;Олександрович;чоловік;24-02-1951;Педагог;місто Покровськ;набережна Військовий узвіз, буд. 2 кв. 31, Бучач, 91174;024 022 54 22;hskopenko@example.com
Полтавець Дан;Андрійович;чоловік;12-09-1988;Драматург;хутір Антрацит ;сквер Світла, буд. 75 кв. 0, Шостка, 65395;695 10 03;anton66@example.com
Чередник Богуслава;Махайлівна;жінка;06-05-1995;Водій;хутір Пологи ;провулок Достоєвського, буд. 3 кв. 4, Українка , 47643;026 600-84-20;iakivzhalilo@example.com
Примаченко Вадим;Вітальович;чоловік;11-06-1992;Громадський діяч;місто Фастів;площа Лучиста, буд. 7, Коломия, 33882;+380 00 141 87 06;nestor33@example.com
Асаула Зиновій;Вітальович;чоловік;23-10-1965;Фармацевт;хутір Немирів;проспект Кифоренка Бориса, буд. 700, Дебальцеве, 43597;025 262 39 64;veniiamyn22@example.com
